	BSMC_V22_0112300	BSMC_V22_0531600	BSMC_V22_0725600	BSMC_V22_1148600	BSMC_V22_1371000	BSMC_V22_0112700	BSMC_V22_0532000	BSMC_V22_0726000	BSMC_V22_0801100	BSMC_V22_0830200	BSMC_V22_1148640	BSMC_V22_1371300	BSMC_V22_0112500	BSMC_V22_0531800	BSMC_V22_0725800	BSMC_V22_0801200	BSMC_V22_0830000	BSMC_V22_1148620
S1	380.35734	12.74829	129.08604	18.41395	369.64965	0.20226	2.36455	27.38681	0.24915	0.76683	0.70803	0.1036	0.64168	0.52141	180.58093	240.90219	0.43495	302.15752
S2	375.1013	14.02698	136.60994	18.07322	401.4531	0.24402	2.3672	28.79257	0.13026	0.68073	0.81907	0.12892	0.55944	0.46028	133.42082	213.00554	0.45405	250.96317
S3	399.75616	12.71966	108.32015	18.23177	394.39621	0.24011	2.38021	23.30165	0.15796	0.74065	0.73035	0.17893	0.71515	0.57931	199.56952	225.42392	0.45049	279.26328
S4	327.43333	14.66581	105.68975	15.14536	436.89638	0.11655	2.62676	21.0011	0.1603	0.92181	0.69026	0.05092	0.82743	0.58356	155.75792	244.30885	0.38719	237.8431
S5	317.26623	13.25182	96.55124	16.00819	434.9627	0.16501	2.03465	14.41746	0.11585	0.33661	0.6858	0.09372	0.43856	0.38344	197.85009	241.10671	0.43121	259.2789
